id,key_name,message_id
1,MENU_COMMAND_ITEM,MSG_SYSTEM_042
2,MENU_COMMAND_ABILITY,MSG_SYSTEM_043
3,MENU_COMMAND_EQUIPMENT,MSG_SYSTEM_044
4,MENU_COMMAND_STATUS,MSG_SYSTEM_045
5,MENU_COMMAND_FORMATION,MSG_SYSTEM_046
6,MENU_COMMAND_CONFIG,MSG_SYSTEM_047
7,MENU_COMMAND_REST,MSG_SYSTEM_048
8,MENU_COMMAND_SAVE,MSG_SYSTEM_049
9,MENU_COMMAND_BACK,MSG_SYSTEM_002
10,MENU_TOP_TIME,MSG_SYSTEM_051
11,MENU_TOP_GILL,MSG_SYSTEM_050
12,MENU_TOP_CURRENT_LOCATION,MSG_SYSTEM_228
13,MENU_TOP_COLON,MSG_SYSTEM_011
14,MENU_TOP_SLASH,MSG_SYSTEM_010
320,MENU_TOP_PERCENT,MSG_SYSTEM_263
15,MENU_PARAMETER_LV,MSG_SYSTEM_052
16,MENU_PARAMETER_HP,MSG_SYSTEM_053
17,MENU_PARAMETER_MP,MSG_SYSTEM_283
18,MENU_PARAMETER_NEXT,MSG_SYSTEM_078
19,MENU_USE,MSG_SYSTEM_056
20,MENU_ITEM_IMPORTANT_OBJECT,MSG_SYSTEM_054
21,MENU_ITEM_TIDYDINESS,MSG_SYSTEM_055
22,MENU_ITEM_WHO_USE,MSG_SYSTEM_093
23,MENU_ITEM_SORT_IN_SELF,MSG_SYSTEM_108
25,MENU_ITEM_SORT_WEAPON,MSG_SYSTEM_299
26,MENU_ITEM_SORT_ARMOR,MSG_SYSTEM_109
27,MENU_ITEM_SORT_NAME,MSG_SYSTEM_110
28,MENU_ITEM_SORT_IN_SELF_DESC,MSG_SYSTEM_111
29,MENU_ITEM_SORT_ITEM_DESC,MSG_SYSTEM_112
31,MENU_ITEM_SORT_WEAPON_DESC,MSG_SYSTEM_113
32,MENU_ITEM_SORT_ARMOR_DESC,MSG_SYSTEM_114
33,MENU_ITEM_SORT_NAME_DESC,MSG_SYSTEM_115
34,MENU_NONE_ITEM,MSG_SYSTEM_060
35,MENU_NONE_ITEM_IMPORTANT_OBJECT,MSG_SYSTEM_061
36,MENU_ITEM_EQUIPABLE_OCCUPATION_WITHOUT,MSG_SYSTEM_279
319,MENU_NONE_BATTLE_ITEM,MSG_SYSTEM_293
37,MENU_ABILITY_FORGET,MSG_SYSTEM_063
39,MENU_ABILITY_UNUSABLE,MSG_SYSTEM_065
40,MENU_ABILITY_FORGET_CONFIRMATION,MSG_SYSTEM_064
41,MENU_ABILITY_WHO_USE,MSG_SYSTEM_093
42,MENU_EQUIPMENT_MOST_POWERFUL,MSG_SYSTEM_066
43,MENU_EQUIPMENT_UNSET_GROSS,MSG_SYSTEM_068
44,MENU_EQUIPMENT_REMOVE,MSG_SYSTEM_067
45,MENU_EQUIPMENT_WEAPON,MSG_SYSTEM_071
46,MENU_EQUIPMENT_SHIELD,MSG_SYSTEM_072
47,MENU_EQUIPMENT_HENMET,MSG_SYSTEM_073
48,MENU_EQUIPMENT_ARMOR,MSG_SYSTEM_074
49,MENU_EQUIPMENT_GAUNTLET,MSG_SYSTEM_075
52,MENU_PARAMETER_ATTACK,MSG_SYSTEM_084
53,MENU_PARAMETER_DEFENSE,MSG_SYSTEM_086
54,MENU_PARAMETER_ACCURACY_RATE,MSG_SYSTEM_085
55,MENU_PARAMETER_EVASION_RATE,MSG_SYSTEM_087
57,MENU_PARAMETER_ABILITY_EVASION_RATE,MSG_SYSTEM_235
58,EQUIPMENT_BY_PARAMETER_UP,MSG_SYSTEM_057
59,EQUIPMENT_BY_PARAMETER_DOWN,MSG_SYSTEM_058
60,EMPTY_SPACE,MSG_SYSTEM_059
61,MENU_EQUIPMENT_WEIGHT,MSG_SYSTEM_176
62,MENU_PARAMETER_STRENGTH,MSG_SYSTEM_079
63,MENU_PARAMETER_AGILITY,MSG_SYSTEM_080
64,MENU_PARAMETER_VITALITY,MSG_SYSTEM_082
65,MENU_PARAMETER_INTELLIGENCE,MSG_SYSTEM_081
