id,asset_name,shadow_type,shadow_name
1,mo_ff1_p005_c00,1,None
2,mo_ff1_p006_c00,1,None
11,mo_ff1_n010_c00,1,None
13,mo_ff1_n011_c00,1,None
15,mo_ff1_n012_c00,1,None
16,mo_ff1_n013_c00,1,None
17,mo_ff1_n014_c00,1,None
18,mo_ff1_n101_c00,1,None
21,mo_ff1_n102_c00,1,None
24,mo_ff1_n103_c00,1,None
28,mo_ff1_n104_c00,1,None
30,mo_ff1_n105_c00,1,None
36,mo_ff1_n108_c00,1,None
37,mo_ff1_n108_c01,1,None
38,mo_ff1_n108_c02,1,None
40,mo_ff1_n109_c00,1,None
46,mo_ff1_n110_c00,1,None
52,mo_ff1_n015_c00,1,None
53,mo_ff1_n016_c00,1,None
54,mo_ff1_n111_c00,1,None
56,mo_ff1_n017_c00,1,None
57,mo_ff1_n018_c00,1,None
58,mo_ff1_n019_c00,1,None
59,mo_ff1_n020_c00,1,None
60,mo_ff1_n021_c00,1,None
61,mo_ff1_n112_c00,1,None
62,mo_ff1_n022_c00,1,None
63,mo_ff1_n023_c00,1,None
64,mo_ff1_n113_c00,1,None
66,mo_ff1_n024_c00,1,None
67,mo_ff1_n025_c00,1,None
68,mo_ff1_n026_c00,1,None
69,mo_ff1_n027_c00,1,None
75,mo_ff1_n029_c00,0,None
76,mo_ff1_n030_c00,1,None
77,mo_ff1_n031_c00,1,None
78,mo_ff1_n032_c00,1,None
80,mo_ff1_n033_c00,1,None
81,mo_ff1_n034_c00,1,None
82,mo_ff1_n035_c00,1,None
83,mo_ff1_n036_c00,0,None
84,mo_ff1_n037_c00,0,None
85,mo_ff1_n038_c00,1,None
86,mo_ff1_n114_c00,1,None
87,mo_ff1_n114_c01,1,None
88,mo_ff1_n114_c02,1,None
89,mo_ff1_n041_c00,1,None
90,mo_ff1_n042_c00,1,None
91,mo_ff1_n043_c00,1,None
95,mo_ff1_n051_c00,1,None
96,mo_ff1_n045_c00,1,None
98,mo_ff1_n046_c00,1,None
99,mo_ff1_n047_c00,1,None
