id,mes_id_name,mes_id_description,change_command_1,change_command_2,change_command_3,change_command_4,change_command_5,initial_condition,strength,vitality,agility,magic
1,MSG_JOB_NAME_01,MSG_JOB_INF_01,0,0,0,0,0,0,0,0,0,0
2,MSG_JOB_NAME_02,MSG_JOB_INF_02,0,0,0,0,0,0,0,0,0,0
3,MSG_JOB_NAME_03,MSG_JOB_INF_03,0,0,0,0,0,0,0,0,0,0
4,MSG_JOB_NAME_04,MSG_JOB_INF_04,0,0,0,0,0,0,0,0,0,0
5,MSG_JOB_NAME_05,MSG_JOB_INF_05,0,0,0,0,0,0,0,0,0,0
6,MSG_JOB_NAME_06,MSG_JOB_INF_06,0,0,0,0,0,0,0,0,0,0
7,MSG_JOB_NAME_07,None,0,0,0,0,0,0,0,0,0,0
8,MSG_JOB_NAME_08,None,0,0,0,0,0,0,0,0,0,0
9,MSG_JOB_NAME_09,None,0,0,0,0,0,0,0,0,0,0
10,MSG_JOB_NAME_10,None,0,0,0,0,0,0,0,0,0,0
11,MSG_JOB_NAME_11,None,0,0,0,0,0,0,0,0,0,0
12,MSG_JOB_NAME_12,None,0,0,0,0,0,0,0,0,0,0
