id,group_id,lv,insert_type_1,hp_value1,hp_value2,mp_value1,mp_value2,insert_type_2,strength,vitality,agility,intelligence,spirit,magic,luck,insert_type_3,accuracy_rate,magic_evasion_rate,magical_times1,magical_times2,magical_times3,magical_times4,magical_times5,magical_times6,magical_times7,magical_times8
1,1,2,3,1,0,0,0,3,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
2,1,3,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
3,1,4,3,1,0,0,0,3,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0
4,1,5,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
5,1,6,3,1,0,0,0,3,1,0,0,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0
6,1,7,3,0,0,0,0,3,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
7,1,8,3,1,0,0,0,3,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
8,1,9,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
9,1,10,3,1,0,0,0,3,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0
10,1,11,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
11,1,12,3,1,0,0,0,3,1,0,0,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0
12,1,13,3,0,0,0,0,3,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
13,1,14,3,1,0,0,0,3,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
14,1,15,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
15,1,16,3,1,0,0,0,3,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0
16,1,17,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
17,1,18,3,1,0,0,0,3,1,0,0,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0
18,1,19,3,0,0,0,0,3,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
19,1,20,3,1,0,0,0,3,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
20,1,21,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
21,1,22,3,0,0,0,0,3,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0
22,1,23,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
23,1,24,3,1,0,0,0,3,1,0,0,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0
24,1,25,3,0,0,0,0,3,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
25,1,26,3,1,0,0,0,3,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
26,1,27,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
27,1,28,3,0,0,0,0,3,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0
28,1,29,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
29,1,30,3,1,0,0,0,3,1,0,0,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0
30,1,31,3,0,0,0,0,3,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
31,1,32,3,1,0,0,0,3,1,0,0,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
32,1,33,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
33,1,34,3,0,0,0,0,3,1,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0
34,1,35,3,0,0,0,0,3,0,1,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
35,1,36,3,1,0,0,0,3,1,0,0,1,0,0,1,1,3,2,0,0,0,0,0,0,0,0
36,1,37,3,0,0,0,0,3,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0
